Question,Answer
맨유의 정식명칭은 뭐야?,맨유의 정식명칭은 Manchester United Football Club입니다.
맨유의 이름이 뭐야?,맨유의 정식명칭은 Manchester United Football Club입니다.
맨유의 영어이름은 뭐야?,맨유의 정식명칭은 Manchester United Football Club입니다.
맨유의 약칭은 뭐야?,맨유의 약칭은 Man Utd입니다.
맨유의 별칭은 뭐야?,"""맨유의 별칭은 레드 데블스 (Red Devils)입니다."""
맨유의 별명은 뭐야?,"""맨유의 별칭은 레드 데블스 (Red Devils)입니다."""
맨유의 창단일은 언제야?,맨유의 창단일은 1878년 3월 5일입니다.
맨유는 언제 만들어졌어?,맨유의 창단일은 1878년 3월 5일입니다.
맨유의 홈구장은 어디야?,맨유의 홈구장은 올드 트래퍼드 (Old Trafford)입니다.
맨유의 라이벌은 누구야?,"맨유의 라이벌은 맨체스터 시티 FC, 리버풀 FC, 리즈 유나이티드 FC입니다."
맨유의 라이벌은 어디야?,"맨유의 라이벌은 맨체스터 시티 FC, 리버풀 FC, 리즈 유나이티드 FC입니다."
맨유의 창립자는 누구야?,맨유의 창립자는 랭카셔와 요크셔 철도회사 노동자들입니다.
맨유를 만든 사람은 누구야?,맨유의 창립자는 랭카셔와 요크셔 철도회사 노동자들입니다.
맨유의 구단주는 누구야?,맨유의 구단주는 글레이저 패밀리입니다.
맨유의 회장은 누구야?,맨유의 회장은 조엘 글레이저(Joel Glazer)입니다.
맨유의 단장은 누구야?,맨유의 단장은 존 머터프(John Murtough)입니다.
맨유의 감독은 누구야?,맨유의 감독은 에릭 텐 하흐(Erik ten Hag)입니다.
맨유의 주장은 누구야?,맨유의 주장은 브루노 페르난데스(Bruno Fernandes)입니다.
맨유의 선수목록을 알려줘,"""맨유의 선수목록입니다. 1. 안드레 오나나(Andre Onana) 2. 빅터 린델로프(Victor Lindelof) 3. 루크 쇼(Luke Shaw) 4. 라파엘 바란(Raphael Varane) 5. 메이슨 마운트(Mason Mount) 6. 리산드로 마르티네스(Lisandro Martinez) 7. 메이슨 그린우드(Mason Greenwood) 8. 브루노 페르난데스(Bruno Fernandes) 9. 앤서니 마샬(Anthony Martial) 10. 마커스 래쉬포드(Marcus Rashford) 11. 조던 산초(Jadon Sancho) 12. 타이렐 말라시아(Tyrell Malacia) 13. 톰 히튼(Tom Heaton) 14. 크리스티안 에릭센(Christian Eriksen) 15. 마르셀 자비처(Marcel Sabitzer) 16. 아마드 디알로(Amad Diallo) 17. 프레드(Fred) 18. 카세미루(Casemiro) 19. 하파엘 레앙(Raphael Leao) 20. 디오구 달롯(Diogo Dalot) 21. 에딘손 카바니(Edinson Cavani) 22. 아론 완-비사카(Aaron Wan-Bissaka) 23. 브랜든 윌리엄스(Brandon Williams) 24. 해리 매과이어(Harry Maguire) 25. 파쿤도 펠리스트리(Facundo Pellistri) 26. 딘 헨더슨(Dean Henderson) 27. 알렉스 텔레스(Alex Telles) 30. 네마냐 마티치(Nemanja Matic) 31. 스콧 맥토미니(Scott McTominay) 33. 필 존스(Phil Jones) 34. 돈니 판 더 비크(Donny van de Beek) 36. 안토니(Anthony)"""
